"","DateTime","USAF","CloudHeight","Temperature.C","Dewpoint.C","SeaLevelPressure.HPA","RelativeHumidity"
"40",2012-08-14 06:00:00,631500,22000,21.6,13,1018,58
"41",2012-08-16 06:00:00,631500,22000,21.7,15,1018.6,66
"42",2012-08-25 06:00:00,631500,22000,24.8,14,1019.2,51
"43",2012-08-27 06:00:00,631500,22000,22.7,15,1019.3,62
"44",2012-08-29 06:00:00,631500,22000,22.2,14,1020.1,60
"45",2012-08-30 06:00:00,631500,22000,24.1,13,1022.1,50
"46",2012-09-04 06:00:00,631500,22000,23.4,14,1018.9,56
"47",2012-09-10 06:00:00,631500,22000,22.8,16,1020.1,66
"48",2012-09-16 06:00:00,631500,22000,22.8,14,1021.4,58
"49",2012-09-19 06:00:00,631500,22000,23.8,13,1019.7,51
"50",2012-09-25 06:00:00,631500,22000,25.8,10,1020,37
"51",2012-09-26 06:00:00,631500,22000,26.3,10,1020.7,36
"52",2012-10-06 06:00:00,631500,22000,23.9,10,1021.3,41
"53",2012-10-24 06:00:00,631500,22000,20.4,3,1021.5,32
"54",2012-11-05 06:00:00,631500,22000,21.7,13,1021.9,58
"55",2012-11-07 06:00:00,631500,22000,20.2,6,1022.6,40
"56",2012-11-14 06:00:00,631500,22000,23.2,11,1021.6,46
"57",2012-11-22 06:00:00,631500,22000,19.8,5,1022.1,38
"58",2012-11-29 06:00:00,631500,22000,19.8,14,1022.1,69
"59",2012-12-06 06:00:00,631500,22000,17.6,13,9999.9,74
"60",2012-12-16 06:00:00,631500,22000,16.7,13,1021.5,79
"61",2013-01-02 06:00:00,631500,22000,15.4,10,1023.4,70
"62",2013-01-09 06:00:00,631500,22000,18.4,13,1022.7,71
"63",2013-01-10 06:00:00,631500,900,18.8,14,1022.7,74
"64",2013-01-22 06:00:00,631500,22000,15.6,6,1020.7,53
"65",2013-01-23 06:00:00,631500,22000,13.8,10,1020.7,78
"66",2013-01-30 06:00:00,631500,22000,20.7,10,1018.5,50
"67",2013-02-04 06:00:00,631500,22000,17.1,14,1020.4,82
"68",2013-02-05 06:00:00,631500,22000,18.2,2,1020.1,34
"69",2013-02-06 06:00:00,631500,22000,16.7,2,1021.2,37
"70",2013-02-11 06:00:00,631500,22000,17.5,5,1021.4,44
"71",2013-02-17 06:00:00,631500,22000,18.9,2,1021.6,32
"72",2013-03-07 06:00:00,631500,22000,23.1,7,1020,36
"73",2013-03-18 06:00:00,631500,22000,23.2,12,1018.3,49
"74",2013-03-24 06:00:00,631500,22000,22.9,13,1018.4,54
"75",2013-03-27 06:00:00,631500,750,21.8,18,1018.2,79
"76",2013-04-02 06:00:00,631500,1800,21.8,17,1020,74
"77",2013-04-03 06:00:00,631500,22000,21.6,19,1020.7,85
"78",2013-04-07 06:00:00,631500,22000,24.1,20.3,1020.3,79
"79",2013-04-11 06:00:00,631500,22000,23.6,17,9999.9,67
"80",2013-04-17 06:00:00,631500,22000,24.2,16,1020.5,60
"81",2013-05-02 06:00:00,631500,22000,25,17,1018.9,61
"82",2013-05-06 06:00:00,631500,1800,23.4,18,1022.4,72
"83",2013-05-08 06:00:00,631500,22000,24.9,12,1020.8,45
"84",2013-05-16 06:00:00,631500,22000,27.6,14,1018.8,43
"85",2013-05-28 06:00:00,631500,22000,26.1,15,1017.2,50
"86",2010-06-01 03:00:00,633300,22000,17.4,1,1027.5,33
"87",2010-06-01 06:00:00,633300,22000,23.4,11.9,1028.1,48
"88",2010-06-01 09:00:00,633300,22000,27.6,3.2,1026.6,21
"89",2010-06-01 12:00:00,633300,22000,29,2.1,1025.4,18
"90",2010-06-02 06:00:00,633300,22000,23.2,4.7,1028.1,30
"91",2010-06-02 12:00:00,633300,22000,28.4,2.1,1025.9,18
"92",2010-06-03 06:00:00,633300,22000,25,3.1,1029.6,24
"93",2010-06-03 12:00:00,633300,22000,29.6,6.4,1026.3,23
"94",2010-06-04 03:00:00,633300,2400,15.8,7,1028.5,56
"95",2010-06-04 06:00:00,633300,22000,23,8.1,1029.3,39
"96",2010-06-04 09:00:00,633300,900,26,7.5,1029,31
"97",2010-06-04 12:00:00,633300,900,28,5.6,1027.3,24
"98",2010-06-05 06:00:00,633300,22000,22,10.6,1029.7,48
"99",2010-06-06 03:00:00,633300,6300,14,6.7,1029.2,61
"100",2010-06-06 06:00:00,633300,22000,22.2,10.6,1028.6,48
"101",2010-06-06 12:00:00,633300,750,25.4,7.5,1026.7,32
"102",2010-06-07 03:00:00,633300,22000,12.6,9.7,1028.6,83
"103",2010-06-07 06:00:00,633300,22000,20.6,11.6,1029.2,56
"104",2010-06-07 09:00:00,633300,22000,26.6,9.4,1027.9,34
"105",2010-06-07 12:00:00,633300,15,24.4,9.1,1026.3,38
"106",2010-06-08 03:00:00,633300,22000,14.4,9.9,1027.9,74
"107",2010-06-08 06:00:00,633300,4500,22,11,1029.3,50
"108",2010-06-08 09:00:00,633300,22000,26.8,9.4,1028.1,34
"109",2010-06-08 12:00:00,633300,22000,28.2,5.6,1026.4,24
"110",2010-06-09 06:00:00,633300,22000,20,11.9,1031.3,60
"111",2010-06-09 15:00:00,633300,15,23.2,9.8,1027,43
"112",2010-06-10 03:00:00,633300,4500,14.4,10,1028.1,75
"113",2010-06-10 06:00:00,633300,22000,20,10.1,1029.7,53
"114",2010-06-10 09:00:00,633300,22000,25.8,11.8,1028.5,42
"115",2010-06-10 12:00:00,633300,750,24.2,9.1,1027.3,38
"116",2010-06-11 03:00:00,633300,4500,13.8,10.7,1026.8,82
"117",2010-06-11 06:00:00,633300,22000,19.8,10.4,1028,55
"118",2010-06-11 12:00:00,633300,22000,28,6.1,1025,25
"119",2010-06-12 06:00:00,633300,22000,22.2,10.2,9999.9,47
"120",2010-06-12 12:00:00,633300,22000,28.2,8.4,1024.6,29
"121",2010-06-12 15:00:00,633300,4500,25.4,5.9,1024.6,29
"122",2010-06-13 03:00:00,633300,4500,14.4,10,1026.8,75
"123",2010-06-13 06:00:00,633300,22000,21.6,10.6,1028,50
"124",2010-06-13 09:00:00,633300,15,26.4,9.8,1026.7,35
"125",2010-06-14 03:00:00,633300,900,14.2,10.7,1027.1,79
"126",2010-06-14 06:00:00,633300,300,18.4,11.5,1027.6,64
"127",2010-06-14 12:00:00,633300,300,24.8,8.7,1025.5,36
"128",2010-06-15 06:00:00,633300,15,18,11.5,1028.8,66
"129",2010-06-15 12:00:00,633300,90,26,9.8,1024.2,36
"130",2010-06-16 03:00:00,633300,22000,15.5,9.1,1026.3,66
"131",2010-06-16 06:00:00,633300,6000,20.8,9.3,1026.6,48
"132",2010-06-17 03:00:00,633300,2700,16.1,10.6,1025.1,70
"133",2010-06-17 06:00:00,633300,4500,20.4,11.6,1026.5,57
"134",2010-06-17 09:00:00,633300,22000,25.4,11.8,1025.9,43
"135",2010-06-18 03:00:00,633300,600,15.8,11,1025.8,73
"136",2010-06-18 06:00:00,633300,1200,19.2,10.7,1027.2,58
"137",2010-06-18 09:00:00,633300,22000,25,12.5,1026.7,46
"138",2010-06-18 15:00:00,633300,4500,21.2,12.5,1024.6,58
"139",2010-06-19 03:00:00,633300,900,16,11,1025.6,72
"140",2010-06-19 06:00:00,633300,4500,20.6,11.6,1026.8,56
"141",2010-06-19 12:00:00,633300,15,25.4,14.1,1024.6,50
"142",2010-06-20 03:00:00,633300,4500,15.6,13.1,1026.6,85
"143",2010-06-20 06:00:00,633300,2400,20,12.3,1027.9,61
"144",2010-06-20 12:00:00,633300,15,26.2,11.8,1025,41
"145",2010-06-20 15:00:00,633300,4500,23,13.8,1024.5,56
"146",2010-06-21 06:00:00,633300,4500,20.6,13.8,1027.1,65
"147",2010-06-21 09:00:00,633300,22000,26.2,11.8,1026.8,41
"148",2010-06-21 12:00:00,633300,22000,28.2,12.2,1023.8,37
"149",2010-06-22 03:00:00,633300,22000,16.6,12.5,1025.4,77
"150",2010-06-22 06:00:00,633300,22000,21.4,12.8,1026.2,58
"151",2010-06-22 09:00:00,633300,22000,27.4,5.6,1025,25
"152",2010-06-22 12:00:00,633300,15,20.9,6.8,1023.8,40
"153",2010-06-23 03:00:00,633300,900,20.4,5.6,1025.1,38
"154",2010-06-23 06:00:00,633300,900,21.8,6.1,1026.4,36
"155",2010-06-23 12:00:00,633300,15,28,8.1,1025.2,29
"156",2010-06-24 03:00:00,633300,900,16.6,10.6,1025.8,68
"157",2010-06-24 06:00:00,633300,900,21.8,12.5,1027.1,56
"158",2010-06-24 09:00:00,633300,900,26,11.8,1026.2,41
"159",2010-06-24 12:00:00,633300,4500,28.8,10.1,1023.9,31
"160",2010-06-24 15:00:00,633300,6000,25.8,9.8,1024.2,37
"161",2010-06-25 03:00:00,633300,900,16.4,9.1,1025.5,62
"162",2010-06-25 06:00:00,633300,22000,22.2,10.6,1026.8,48
"163",2010-06-25 12:00:00,633300,15,27.4,6.5,1022.3,27
"164",2010-06-26 03:00:00,633300,2100,14.2,11,1026.7,81
"165",2010-06-26 06:00:00,633300,22000,20,11.9,1027.5,60
"166",2010-06-26 12:00:00,633300,15,26,9.1,1025.1,34
"167",2010-06-27 03:00:00,633300,2100,14.2,10.7,1025.4,79
"168",2010-06-27 06:00:00,633300,22000,21,11.2,1026.4,54
"169",2010-06-27 09:00:00,633300,22000,26.4,9.4,1025.8,34
"170",2010-06-27 12:00:00,633300,6000,26.6,7.5,1023.8,30
"171",2010-06-28 03:00:00,633300,4500,14.2,10.3,1025.2,77
"172",2010-06-28 06:00:00,633300,4500,21.8,10.6,1026.4,49
"173",2010-06-28 09:00:00,633300,22000,25.8,7.5,1026.2,31
"174",2010-06-28 12:00:00,633300,15,25.4,8.3,1025.5,34
"175",2010-06-29 03:00:00,633300,900,16.2,11.4,1026.7,73
"176",2010-06-29 06:00:00,633300,4500,18,11.5,1027.9,66
"177",2010-06-29 12:00:00,633300,15,18.4,13.3,1026,72
"178",2010-06-30 12:00:00,633300,750,18.6,10.7,1026.7,60
"179",2010-07-01 03:00:00,633300,4500,13.6,12.4,1026.8,92
"180",2010-07-01 06:00:00,633300,22000,18.4,13.3,9999.9,72
"181",2010-07-01 09:00:00,633300,15,21.8,14.4,1026.9,63
"182",2010-07-01 12:00:00,633300,15,22,10.6,1024.9,48
"183",2010-07-02 03:00:00,633300,22000,11,9.2,1025.5,89
"184",2010-07-02 12:00:00,633300,15,25,10.8,1023.8,41
"185",2010-07-03 03:00:00,633300,22000,12.8,9.6,1024.9,81
"186",2010-07-03 06:00:00,633300,22000,21,11.2,1025.8,54
"187",2010-07-03 12:00:00,633300,22000,27,8.6,1023.5,31
"188",2010-07-03 15:00:00,633300,22000,25,8.3,1023,35
"189",2010-07-04 03:00:00,633300,22000,13.8,11,1025.9,83
"190",2010-07-04 06:00:00,633300,22000,20.4,11.9,1026.7,58
"191",2010-07-04 09:00:00,633300,22000,25,10.4,1025.1,40
"192",2010-07-04 12:00:00,633300,15,25.8,10.2,1023.4,38
"193",2010-07-05 03:00:00,633300,4500,14.6,10.7,1026.3,77
"194",2010-07-05 06:00:00,633300,4500,17.8,11.7,1028,68
"195",2010-07-05 12:00:00,633300,15,17.2,10.3,1026.2,64
"196",2010-07-06 03:00:00,633300,4500,13.2,12.6,1026.4,96
"197",2010-07-07 06:00:00,633300,6000,18.4,12.6,1026.9,69
"198",2010-07-07 09:00:00,633300,6000,22.4,13.8,1026.3,58
"199",2010-07-07 12:00:00,633300,900,23.6,13.5,1024.2,53
"200",2010-07-08 12:00:00,633300,15,18.6,14.7,1024.7,78
"201",2010-07-09 03:00:00,633300,2400,16.2,12.5,1024.9,79
"202",2010-07-09 06:00:00,633300,22000,20.2,12.3,1025.9,60
"203",2010-07-09 09:00:00,633300,22000,23.4,13.1,1025.2,52
"204",2010-07-09 12:00:00,633300,4500,23.2,13.8,1023.2,56
"205",2010-07-10 03:00:00,633300,720,16.2,12.8,1024.3,80
"206",2010-07-10 06:00:00,633300,4500,20.4,13.8,1025.6,66
"207",2010-07-10 09:00:00,633300,900,24.8,14.4,1024.6,52
"208",2010-07-11 03:00:00,633300,4500,17.2,13.9,1024.1,81
"209",2010-07-11 06:00:00,633300,4500,19.2,14,1025.4,72
"210",2010-07-11 09:00:00,633300,420,21.4,13.1,1026,59
"211",2010-07-11 12:00:00,633300,420,17.6,15.4,1022.3,87
"212",2010-07-12 03:00:00,633300,900,14.2,13.7,1004.7,97
"213",2010-07-12 06:00:00,633300,22000,17.8,13.6,1025.6,76
"214",2010-07-12 09:00:00,633300,22000,22.4,13.8,1025.4,58
"215",2010-07-12 12:00:00,633300,900,24.6,14.4,1023.8,53
"216",2010-07-12 15:00:00,633300,900,24,13.1,1023.2,51
"217",2010-07-13 03:00:00,633300,900,16,14.4,1025.5,90
"218",2010-07-13 06:00:00,633300,900,18.6,13.2,1026.6,71
"219",2010-07-13 09:00:00,633300,540,21,13.1,1025.5,61
"220",2010-07-13 12:00:00,633300,900,22.2,14.3,1023.7,61
"221",2010-07-14 06:00:00,633300,4500,19,14.4,1023.8,75
"222",2010-07-14 09:00:00,633300,900,15.8,14.4,1023.8,91
"223",2010-07-14 12:00:00,633300,15,19,16,1022.4,83
"224",2010-07-15 03:00:00,633300,4500,15.2,13.4,1023,89
"225",2010-07-15 06:00:00,633300,15,15,11,1025,77
"226",2010-07-15 09:00:00,633300,4500,18.4,13.6,1024.9,74
"227",2010-07-15 12:00:00,633300,6000,21.6,13.1,1023.8,58
"228",2010-07-15 15:00:00,633300,15,19.8,13.8,1023.2,68
"229",2010-07-16 03:00:00,633300,15,12.8,12.8,1026.8,100
"230",2010-07-16 06:00:00,633300,15,16.8,14.2,1027.6,85
"231",2010-07-16 09:00:00,633300,15,21,14.9,1027.3,68
"232",2010-07-17 03:00:00,633300,4500,15,13.7,1027.1,92
"233",2010-07-17 06:00:00,633300,900,16.6,14.4,1028.1,87
"234",2010-07-18 03:00:00,633300,15,15,14.7,1026.3,98
"235",2010-07-18 06:00:00,633300,15,15.4,14.7,1028,96
"236",2010-07-18 12:00:00,633300,15,20.8,15.1,1025.6,70
"237",2010-07-18 15:00:00,633300,15,20.2,15.5,1025.1,74
"238",2010-07-19 03:00:00,633300,15,15.4,15.4,1027.1,100
"239",2010-07-19 06:00:00,633300,15,15.6,15.6,1027.7,100
"240",2010-07-19 09:00:00,633300,15,16.2,15.7,1027.5,97
"241",2010-07-19 12:00:00,633300,4500,20,15.5,1025.9,75
"242",2010-07-20 03:00:00,633300,15,15.2,15,1026.2,99
"243",2010-07-20 06:00:00,633300,120,16.4,15.7,1028,96
"244",2010-07-20 09:00:00,633300,30,19,16,1026.9,83
"245",2010-07-20 15:00:00,633300,900,18,13.6,1024.2,75
"246",2010-07-21 06:00:00,633300,60,16.4,14.4,1025.4,88
"247",2010-07-21 09:00:00,633300,600,20,13.8,1025.4,68
"248",2010-07-21 12:00:00,633300,15,21.4,14.6,1023.5,65
"249",2010-07-21 15:00:00,633300,750,16.6,14.3,1023.7,86
"250",2010-07-22 03:00:00,633300,4500,14.4,14.4,1024.6,100
"251",2010-07-22 06:00:00,633300,900,16,14.4,1025.1,90
"252",2010-07-22 09:00:00,633300,600,21.4,14.6,1024.1,65
"253",2010-07-23 03:00:00,633300,6000,13.8,12.7,1025.9,93
"254",2010-07-23 06:00:00,633300,4500,17.8,14,1027.2,78
"255",2010-07-23 12:00:00,633300,6000,22.6,15.7,1024.9,65
"256",2010-07-24 03:00:00,633300,600,14.2,13.7,1046.9,97
"257",2010-07-24 06:00:00,633300,600,15.4,13.4,1028,88
"258",2010-07-24 09:00:00,633300,900,18.2,13.3,1027.7,73
"259",2010-07-24 12:00:00,633300,15,19.2,14,1025.8,72
"260",2010-07-24 15:00:00,633300,30,15.2,13.4,1026.7,89
"261",2010-07-25 03:00:00,633300,900,13,12.7,1025.8,98
"262",2010-07-25 06:00:00,633300,15,14.4,12.4,1027.5,88
"263",2010-07-25 09:00:00,633300,540,19,15.5,1026.3,80
"264",2010-07-25 12:00:00,633300,15,21,14.9,1024.1,68
"265",2010-07-26 03:00:00,633300,4500,14,12.7,1026.6,92
"266",2010-07-26 06:00:00,633300,300,15.6,13.1,1028,85
"267",2010-07-26 09:00:00,633300,750,18.6,14.4,9999.9,77
"268",2010-07-26 12:00:00,633300,15,21.2,14.6,1025.9,66
"269",2010-07-27 06:00:00,633300,22000,16.6,13.9,1029,84
"270",2010-07-27 09:00:00,633300,600,20.6,13.1,1029,62
"271",2010-07-27 12:00:00,633300,15,19,14,1026.8,73
"272",2010-07-27 15:00:00,633300,750,16.2,12.5,1027.3,79
"273",2010-07-28 03:00:00,633300,60,17.8,12.7,1028.6,72
"274",2010-07-28 06:00:00,633300,15,13.8,12.7,1029.3,93
"275",2010-07-29 03:00:00,633300,4500,12.8,11.7,1025.6,93
"276",2010-07-29 06:00:00,633300,4500,16,13.1,1026.3,83
"277",2010-07-29 09:00:00,633300,900,19.6,14.6,1025.9,73
"278",2010-07-29 12:00:00,633300,900,22.4,12.2,1023.3,53
"279",2010-07-30 03:00:00,633300,15,13,12.7,1025.5,98
"280",2010-07-30 06:00:00,633300,540,16.4,13.9,1025.9,85
"281",2010-07-30 09:00:00,633300,22000,20,13.8,1025.5,68
"282",2010-07-30 12:00:00,633300,22000,21.2,11.2,1023.8,53
"283",2010-07-30 15:00:00,633300,15,18,14.7,1023.7,81
"284",2010-07-31 03:00:00,633300,30,15.2,14.7,1026.2,97
"285",2010-07-31 06:00:00,633300,30,15.5,14.7,1026.9,95
"286",2010-07-31 09:00:00,633300,900,20.6,13.8,1026.2,65
"287",2010-07-31 12:00:00,633300,15,20.8,13.4,1024.7,63
"288",2010-08-01 03:00:00,633300,720,14.8,13.4,1026.4,91
"289",2010-08-01 06:00:00,633300,900,17.4,14.9,1027.2,85
"290",2010-08-01 12:00:00,633300,15,17,15.7,1025.1,92
"291",2010-08-02 03:00:00,633300,750,13.8,12.4,1027.3,91
"292",2010-08-02 09:00:00,633300,900,20.4,15.1,1026.9,72
"293",2010-08-03 03:00:00,633300,22000,13.8,12.7,1027.1,93
"294",2010-08-03 06:00:00,633300,15,16.6,14.2,1028.5,86
"295",2010-08-04 03:00:00,633300,4500,14.6,12.1,1026.9,85
"296",2010-08-04 06:00:00,633300,600,16.2,12.8,1027.5,80
"297",2010-08-04 09:00:00,633300,600,20.4,15.1,1026.4,72
"298",2010-08-04 12:00:00,633300,15,21.2,14.9,1023.9,67
"299",2010-08-05 03:00:00,633300,15,13.6,12.7,1026.7,94
"300",2010-08-05 09:00:00,633300,900,17.4,13.8,1027.4,79
"301",2010-08-05 12:00:00,633300,15,20.4,14.9,1025.8,71
"302",2010-08-06 03:00:00,633300,15,14,13.8,1027.6,99
"303",2010-08-06 06:00:00,633300,300,14.8,13.7,1028.8,93
"304",2010-08-07 03:00:00,633300,600,15.6,14.4,1027.6,93
"305",2010-08-07 06:00:00,633300,6000,17.2,15.2,1028.3,88
"306",2010-08-07 09:00:00,633300,22000,20.6,13.8,1027.9,65
"307",2010-08-08 03:00:00,633300,15,15,14.7,1024.7,98
"308",2010-08-08 06:00:00,633300,6000,18.6,16.3,1025.5,86
"309",2010-08-08 09:00:00,633300,15,20.6,15.5,1025.9,73
"310",2010-08-09 03:00:00,633300,15,15.2,15.2,1025.5,100
"311",2010-08-09 06:00:00,633300,30,16.8,15.4,1026.6,91
"312",2010-08-09 09:00:00,633300,15,21,14.7,1025.5,67
"313",2010-08-09 12:00:00,633300,30,17.2,13.9,1023.8,81
"314",2010-08-10 03:00:00,633300,15,14.6,14.6,1025.4,100
"315",2010-08-10 06:00:00,633300,30,15.2,13.4,1027.2,89
"316",2010-08-10 09:00:00,633300,900,17,13.9,1026.9,82
"317",2010-08-10 12:00:00,633300,900,19.2,14.4,1024.7,74
"318",2010-08-11 03:00:00,633300,15,16,15.7,1026.4,98
"319",2010-08-11 06:00:00,633300,30,16.2,15.7,1027.9,97
"320",2010-08-12 03:00:00,633300,15,13.8,13.8,1027.1,100
"321",2010-08-12 06:00:00,633300,900,15.4,14.7,1028.5,96
"322",2010-08-12 09:00:00,633300,30,17.8,13.9,1028,78
"323",2010-08-12 12:00:00,633300,900,20.2,15.1,1026.7,73
"324",2010-08-13 03:00:00,633300,60,15.2,15,1026.9,99
"325",2010-08-13 06:00:00,633300,30,16.8,14.2,1027.7,85
"326",2010-08-13 09:00:00,633300,15,19.8,15.5,1027.5,76
"327",2010-08-14 03:00:00,633300,900,13.4,12.7,1026.7,96
"328",2010-08-14 06:00:00,633300,900,15.2,11.7,1027.9,80
"329",2010-08-14 09:00:00,633300,15,20,13.8,1027.7,68
"330",2010-08-14 12:00:00,633300,15,20.4,15.1,1025.5,72
"331",2010-08-14 15:00:00,633300,900,18.8,14.7,1024.9,77
"332",2010-08-15 03:00:00,633300,22000,14.6,13.7,1026.3,94
"333",2010-08-15 06:00:00,633300,15,16.6,14.4,1027.2,87
"334",2010-08-15 09:00:00,633300,540,20.8,14.9,1026.4,69
"335",2010-08-16 03:00:00,633300,60,13.8,13.8,1026.6,100
"336",2010-08-16 06:00:00,633300,30,15,13.4,1027.9,90
"337",2010-08-19 03:00:00,633300,30,14.4,13.4,1024.1,94
"338",2010-08-19 06:00:00,633300,15,16,14.4,1025.9,90
"339",2010-08-19 09:00:00,633300,900,20.6,15.1,1025.8,71
"340",2010-08-19 15:00:00,633300,15,22.2,14.9,1023.7,63
"341",2010-08-20 06:00:00,633300,15,17.4,15.2,1027.5,87
"342",2010-08-20 12:00:00,633300,15,21.8,16.2,1025.2,71
"343",2010-08-21 03:00:00,633300,210,13,11.3,1025.4,89
"344",2010-08-21 06:00:00,633300,900,16.2,14.4,1027.5,89
"345",2010-08-21 09:00:00,633300,900,19.8,15.7,1026.7,77
"346",2010-08-21 12:00:00,633300,900,20.4,17.1,1024.2,81
"347",2010-08-22 03:00:00,633300,30,14.4,13.7,1024.7,96
"348",2010-08-22 06:00:00,633300,30,15.2,14.7,1025.9,97
"349",2010-08-22 09:00:00,633300,15,19,14.7,1025.5,76
"350",2010-08-22 12:00:00,633300,15,21.4,16.2,1022.4,72
"351",2010-08-23 06:00:00,633300,30,14.8,13.6,1026.2,93
"352",2010-08-23 09:00:00,633300,30,16.8,13.9,1025.9,83
"353",2010-08-23 12:00:00,633300,900,20,15.1,1023.7,73
"354",2010-08-24 03:00:00,633300,15,15,14.7,1025.8,98
"355",2010-08-24 06:00:00,633300,30,16,14.4,1027.6,90
"356",2010-08-24 09:00:00,633300,900,20.2,15.1,1027.2,73
"357",2010-08-25 03:00:00,633300,60,15,15,1026.2,100
"358",2010-08-25 06:00:00,633300,60,15.4,14.7,1027.2,96
"359",2010-08-25 09:00:00,633300,30,16.4,15.4,1027.5,94
"360",2010-08-25 12:00:00,633300,30,17.8,16.5,1024.3,92
"361",2010-08-26 06:00:00,633300,15,14.6,13.5,1026,93
"362",2010-08-26 09:00:00,633300,600,17.6,16.6,1025.9,94
"363",2010-08-26 12:00:00,633300,22000,19.2,14.4,1023.3,74
"364",2010-08-26 15:00:00,633300,600,18.2,14.9,1022.5,81
"365",2010-08-27 03:00:00,633300,90,15.2,15,1024.2,99
"366",2010-08-27 06:00:00,633300,30,16,14.7,1025.5,92
"367",2010-08-27 09:00:00,633300,900,19.4,14,1025.4,71
"368",2010-08-28 03:00:00,633300,30,13.2,13.2,1025.4,100
"369",2010-08-28 06:00:00,633300,15,14.6,14.4,1027.2,99
"370",2010-08-28 09:00:00,633300,15,19.2,15.7,1026.7,80
"371",2010-08-29 09:00:00,633300,22000,20,15.5,1026.4,75
"372",2010-08-29 12:00:00,633300,15,20.4,14.9,1024.1,71
"373",2010-08-29 15:00:00,633300,15,16.2,12.8,1024.5,80
"374",2010-08-30 03:00:00,633300,15,14,14,1025.6,100
"375",2010-08-30 09:00:00,633300,15,20.6,15.1,1025.9,71
"376",2010-08-30 12:00:00,633300,15,23.6,16.6,1023.2,65
"377",2010-08-31 03:00:00,633300,22000,13.6,12.7,1024.1,94
"378",2010-08-31 06:00:00,633300,22000,18.4,16.3,1025.1,88
"379",2010-08-31 09:00:00,633300,900,22.8,17.3,1022.7,71
"380",2010-08-31 12:00:00,633300,15,24,16.6,1022,63
"381",2010-09-01 06:00:00,633300,15,14.4,13.4,1026.9,94
"382",2010-09-02 03:00:00,633300,750,13.6,12.7,1026.4,94
"383",2010-09-02 06:00:00,633300,4500,18.2,12.9,1028.4,71
"384",2010-09-02 09:00:00,633300,22000,20.8,11.6,1028,56
"385",2010-09-02 12:00:00,633300,4500,22.8,13.8,1025.8,57
"386",2010-09-03 03:00:00,633300,1800,13.8,12.7,1027.1,93
"387",2010-09-03 06:00:00,633300,1800,18.8,14.4,1028.6,76
"388",2010-09-04 03:00:00,633300,15,15,14.7,1025.8,98
"389",2010-09-04 06:00:00,633300,900,17.2,15.4,1026.8,89
"390",2010-09-04 09:00:00,633300,22000,21.6,14.9,1026.6,66
"391",2010-09-04 12:00:00,633300,15,24,15,1024.2,57
"392",2010-09-05 03:00:00,633300,22000,13.4,12.8,1025.6,96
